tsne-1,tsne-2,label
1.8387869885021995,-38.32086531172022,Stroke
-44.98730205673813,0.36277162619729747,HFMD
4.012816277838528,28.097491889258148,Food
-10.247160721133136,-35.26983082162074,Influenza
3.150123296460765,-18.695641592898642,Hospital
11.12566195559771,-23.263990683843538,Health facilities
-11.412679413071652,23.40993967103313,Public health
0.828661184625823,14.756813250639146,Public health
23.309735814419103,-10.483300767848597,Particulates
19.140969932361212,-1.6861791933960202,China
-9.061882846863814,-2.266170726892222,China
21.31357153874169,8.312984764765359,Energy
-36.462014436970385,3.4616991464873785,Leptospirosis
-9.01136904112202,5.892668342875309,Age & sex
23.193918391853355,14.24438275691109,Household
-21.068394839598813,-26.815468192108824,Rainfall
-6.870556536541934,-7.188377652410129,Rainfall
-28.353642488203587,-15.971552218354649,Rainfall
2.3744471820903916,2.785810011443241,Injury
8.550547771134358,-29.350689510523516,Asthma
4.874507742558572,-12.726669623592027,Cold
14.292318435037528,1.6193269276218556,In-/out-door
-35.61801178636713,14.681839432943544,Cholera
14.427547026466792,8.940858209444908,RCP
11.090529636071762,7.5792536122141545,Thermal stress
5.639703597036907,-0.8027610085402237,Death
12.44362675986815,-8.969838876151698,Death
25.660401249296914,-18.25455712015089,Dust storm
-29.04779364520892,23.843244126013577,Suicide
20.943924568706414,-25.565265683864897,Spores
5.735994619130955,36.43010347834981,Drought
-19.36668304489851,17.34955348792453,Mental
-8.923949517650295,-23.110853072890137,DTR
4.505006076481087,22.775347693048758,Adaptation
-16.98424908018992,20.25113707594254,Hurricane
2.1051998056101264,-5.804623602634447,Warming
33.10646071642456,-13.26975769691904,PAH
26.42055923138085,-4.976607283485975,PAH
-13.044062183744524,11.394660882341489,Child
-3.836394545262662,-15.824867214932757,Patients
-17.14714739270801,-7.643859496826837,RSV
6.884221373063876,11.132702754918622,Vulnerability
-0.9025808342139613,27.987195797607665,Vulnerability
-4.653468808873618,18.64991157059736,Vulnerability
38.99065636587586,0.027210481256443708,Fire
-4.884572571177937,-9.75018001769346,Meteorology
33.03713899419613,-4.876884237064165,Ozone
9.28966261326779,27.666963317423154,Farmer
0.7500591741973286,9.407347715576972,Extreme weather
-1.2918536016806006,-2.728378842663131,Extreme weather
-2.526253047218383,-27.59780436401284,Birth
-5.025905969260493,-6.787060021602349,Seasonality
-26.941888470458604,9.032832084104882,Water
-18.683015518027727,-0.12722689564588752,Viral
-29.0747849142787,-11.934811092705162,Viral
-21.58014213160337,-24.71561247134621,Viral
17.38133722958891,20.845813221362402,Heatwave
4.259869673725757,-10.05726620814525,Temperature
-2.739858000378206,23.32540505344338,Resilience
-26.714941943374328,-5.5992549762403145,Mosquito
-14.77391948070284,1.694055933063016,Infectious
-6.300004051291659,32.57287253374812,Flood
16.215596926326135,-35.12558755611726,Pollen
-19.678689874401325,-26.623957842323648,Malaria
9.000562333517832,-7.863090671904454,Mortality
16.90129119699959,-7.017860260943063,Air pollution
-8.898126210322143,24.150065803324104,Disaster
-19.158939597644455,19.323457021331166,Disaster
27.622627945717337,0.6004511115228939,NOx/Vehicles
2.356585309303949,17.58467091115565,Climate change
-16.617093900193005,4.936293542849334,Climate change
9.197318289589134,26.142995023407025,Climate change
3.306580561616202,27.910295873404603,Climate change
-30.145005037235062,-14.160476683357578,Dengue
6.2663063788692295,8.325072036694662,Heat stress
19.064888908567532,-14.361877330205598,PM2.5-10
8.607849429714106,13.905560050412017,Urban
