admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code,doc_id,word,country_predicted,country_conf,continent,lcount
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,16906,China,CHN,0.9997636675834656,AS,5
,-5.0,120.0,IDN,1643084,Republic of Indonesia,A,PCLI,18070,Indonesia,IDN,0.999810516834259,AS,9
North Sumatra,2.0,99.0,IDN,1213642,Sumatera Utara,A,ADM1,18070,North Sumatera,IDN,0.99310302734375,AS,13
,22.0,79.0,IND,1269750,Republic of India,A,PCLI,18676,India,IND,0.999981164932251,AS,5
Karnataka,13.0,77.58333,IND,1277331,Bangalore Urban,A,ADM2,18676,Bangalore,IND,0.9998457431793212,AS,9
Tamil Nadu,13.08891,80.26483,IND,7646145,Chennai,A,ADM2,18676,Chennai,IND,0.9999812841415404,AS,7
NCT,28.70113,77.10154,IND,8335427,North West Delhi,A,ADM2,18676,Delhi,IND,0.9998457431793212,AS,5
Uttar Pradesh,26.46523,80.34975,IND,1267995,Kanpur,P,PPL,18676,Kanpur,IND,0.9999812841415404,AS,6
Maharashtra,19.12636,72.84897,IND,1270836,Mumbai Suburban,A,ADM2,18676,Mumbai,IND,0.9999812841415404,AS,6
Maharashtra,18.74673,73.75465,IND,8133375,Pune Division,A,ADM2,18676,Pune,IND,0.9998457431793212,AS,4
Lambayeque,-6.785189999999999,-79.6669,PER,3810669,Huaca Alto Perú,P,PPL,18834,Alto Peru,PER,0.9614787697792052,SA,8
,-17.0,-65.0,BOL,3923057,Plurinational State of Bolivia,A,PCLI,18834,Bolivia,BOL,0.999810516834259,SA,7
Shandong,36.19278,117.65694,CHN,1804591,Laiwu,P,PPL,19132,Laiwu,CHN,0.9972315430641174,AS,5
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,19132,China,CHN,0.9997636675834656,AS,5
Khuzestan,31.5,49.0,IRN,127082,Khuzestan,A,ADM1,21074,Khuzestan,IRN,0.9972315430641174,AS,9
,32.0,53.0,IRN,130758,Islamic Republic of Iran,A,PCLI,21074,Iran,IRN,0.999810516834259,AS,4
Khuzestan,31.31901,48.6842,IRN,144448,Ahvaz,P,PPLA,21074,Ahvaz,IRN,0.9972315430641174,AS,5
,22.0,79.0,IND,1269750,Republic of India,A,PCLI,22203,India,IND,0.9997636675834656,AS,5
Oklahoma,35.46765,-97.51379,USA,7174009,City of Oklahoma City,A,ADMD,23361,City:,USA,0.9991698265075684,NA,4
Tennessee,35.96064000000001,-83.92074000000002,USA,4634946,Knoxville,P,PPLA2,23361,Knoxville,USA,0.99993097782135,NA,9
Tennessee,35.75035,-86.25027,USA,4662168,Tennessee,A,ADM1,23361,Tennessee,USA,0.9991698265075684,NA,9
California,39.76,-98.5,USA,6252001,United States,A,PCLI,23361,USA,USA,0.99993097782135,NA,3
,24.0,90.0,BGD,1210997,Bangladesh,A,PCLI,23858,Bangladesh,BGD,0.99993097782135,AS,10
,39.76,-98.5,USA,6252001,United States,A,PCLI,24929,United States,USA,0.93927663564682,NA,12
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,25290,China,CHN,0.9999233484268188,AS,5
,13.0,105.0,KHM,1831722,Kingdom of Cambodia,A,PCLI,26505,Cambodia,KHM,0.999810516834259,AS,8
,-16.0,167.0,VUT,2134431,Republic of Vanuatu,A,PCLI,27623,Vanuatu,VUT,0.999996781349182,OC,7
Latium,41.89193,12.51133,ITA,3169070,Rome,P,PPLC,27997,Rome,ITA,0.999993085861206,EU,4
Île-de-France,48.85339000000001,2.34864,FRA,2988506,Paris,A,ADM3,27997,Paris,FRA,1.0,EU,5
Shanghai,31.22222,121.45806,CHN,1796236,Shanghai,P,PPLA,27997,Shanghai,CHN,1.0,AS,8
,31.5,34.75,ISR,294640,State of Israel,A,PCLI,27997,Israel,ISR,1.0,AS,6
New Jersey,40.73566,-74.17237,USA,5101798,Newark,P,PPLA2,27997,Newark,USA,1.0,NA,6
Madrid,40.40225,-3.71029,ESP,6355233,Provincia de Madrid,A,ADM2,27997,Madrid,ESP,0.999993085861206,EU,6
,40.0,-4.0,ESP,2510769,Kingdom of Spain,A,PCLI,27997,Spain,ESP,1.0,EU,5
England,51.50853,-0.12574000000000002,GBR,2643743,London,P,PPLC,27997,London,GBR,0.999993085861206,EU,6
Attica,37.97945,23.71622,GRC,264371,Athens,P,PPLC,27997,Athens,GRC,0.999993085861206,EU,6
,39.0,22.0,GRC,390903,Hellenic Republic,A,PCLI,27997,Greece,GRC,1.0,EU,6
Taipei,24.94702,121.58175,TWN,1665148,Taipei,A,ADM2,27997,Taipei,TWN,1.0,AS,6
,24.0,121.0,TWN,1668284,Taiwan,A,PCLI,27997,Taiwan,TWN,1.0,AS,6
Ōsaka,34.68631,135.51968,JPN,1853904,Ōsaka-fu,A,ADM1,27997,Osaka,JPN,1.0,AS,5
,35.68536,139.75309,JPN,1861060,Japan,A,PCLI,27997,Japan,JPN,1.0,AS,5
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,27997,China,CHN,1.0,AS,5
Beijing,39.91691,116.39706,CHN,2038349,Beijing Shi,A,ADM1,27997,Beijing,CHN,1.0,AS,7
,40.0,127.0,PRK,1873107,Democratic People’s Republic of Korea,A,PCLI,27997,North Korea,PRK,1.0,AS,10
Bangkok,13.75398,100.50144,THA,1609350,Bangkok,P,PPLC,27997,Bangkok,THA,0.999993085861206,AS,7
,15.5,101.0,THA,1605651,Kingdom of Thailand,A,PCLI,27997,Thailand,THA,1.0,AS,8
Metro Manila,14.6042,120.9822,PHL,1701668,Manila,P,PPLC,27997,Manila,PHL,0.999993085861206,AS,6
,13.0,122.0,PHL,1694008,Republic of the Philippines,A,PCLI,27997,Philippines,PHL,1.0,AS,11
,16.16667,107.83333,VNM,1562822,Socialist Republic of Vietnam,A,PCLI,27997,Vietnam,VNM,1.0,AS,7
,36.5,127.75,KOR,1835841,Republic of Korea,A,PCLI,27997,South Korea,KOR,1.0,AS,10
Muḩāfaz̧at Masqaţ,23.58413,58.40778,OMN,287286,Muscat,P,PPLC,27997,Muscat,OMN,1.0,AS,6
