doc_id,Health system,All-cause mortality,Respiratory,Chronic,Infectious disease,WaSH,Food security,Child & maternal,Mental health,Occupational health,Mixed meteorological,Temperature,Extreme events & floods,Precipitation variability,Drought,Emissions,Unspecified climate
3413666,0.0,0.0006272202981044212,0.05048056643666443,0.002006434831515753,0.006085292894378205,0.0,0.0,0.10376897163366554,0.0,0.0,0.006513717191489022,0.002039196167608845,0.0,0.0,0.004026590923382857,0.0005384847546566604,0.0
3413713,0.09773319500858924,0.001664289687103042,0.04271077352624277,0.009283315438109844,0.005328657367361037,0.0,0.0,0.001827619213955243,0.0,0.0,0.006190464323677893,0.009669537326811656,0.010850226126943504,0.002425149093912935,0.057854429168459544,0.003499418269969256,0.0
3413715,0.031003193349814183,0.0,0.004963218774106543,0.00032343545604619393,0.10476265484964895,0.0020290280512893807,0.0006217518034900252,0.0017002800365698472,0.0002845747549074597,0.013185742196463509,0.0,0.09969225455303662,0.0011122565063639552,0.0,0.0,0.002015050811553492,0.0
3413779,0.0,0.0,0.0,0.0,0.24524036475116345,0.0,0.012180126292605144,0.0,0.00021948714110107492,0.002904773099996535,0.022215464269000076,0.0,0.11818010269898385,0.0,0.0,0.0,0.0
3413780,0.0,0.0,0.1292421871178557,0.00020630462165882583,0.0,0.0,0.0,0.0,0.0,0.0,0.008373046219167592,0.001862187743966258,0.0,0.0,0.010235717286425635,0.009695453778976296,0.0
3413827,0.0035204711745220143,0.00028542728255864417,0.038632596863416996,0.002728815514711379,0.0024107302496577496,0.0029155705404980397,0.0,0.0003482508243837,0.0,0.0028057876568986975,0.040625080087616505,0.0013833663807313545,0.0010569541210370596,0.00328461409425965,0.01799351019039913,0.04469868543392762,0.0020422132857252423
3413841,0.026341359977818342,0.05198621489466662,0.08392927724179731,0.0,0.008035232214066613,0.0,0.0,0.0024780085481451576,0.005887371015257925,0.0,0.01613744949598965,0.034601053378582214,0.0,0.0,0.0,0.0,0.0
3413865,0.06333428824960288,0.0,0.032432270517186154,0.000431922270549041,0.1139614326203107,0.0015813450617292778,0.0,0.0,0.0,0.000647880856432467,0.0,0.0,0.007933303807915768,0.04032658266741293,0.0034565560957987586,0.0,0.0
3413918,0.001036920913169936,0.0,0.01839891426644316,0.0,0.06365176572072938,0.0,0.03134992585415409,0.0,0.0,0.0010083059276601973,0.03453574333629718,0.003285864571362897,0.03841445456385471,0.0,0.0,0.00439245290383574,0.0
3413963,0.0026315762324041697,0.010540595727485075,0.02267316049559825,0.0001542715945814121,0.11510731666836398,0.0,0.0,0.000977438382207262,0.0022349003591403214,0.0,0.0032994538226567604,0.017244557680602755,0.016245468900002107,0.010068754507176907,0.0006969505487128652,0.0,0.0
3413987,0.0001260106846154476,0.0,0.07407203699177548,0.0,0.0,0.0,0.004265490043654128,0.0,0.0,0.0,0.0006654312521879285,0.011183922441533118,0.0,0.0,0.0,0.0036116333940278264,0.0
3414022,0.0,0.0,0.12399868968374508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03210263306725986,0.021725953839130775,0.0,0.0,0.0,0.0,0.0
