index,doc_id,High,Low,Lower-middle,Upper-middle,Health system demand,All-cause mortality,Respiratory,Chronic,Infectious disease,WASH,Food & nutrition,Maternal & child health,Mental health,Occupational health & injury
0,103,0,0,0,1,0.0,0.009276729448149714,0.0,0.0,0.005812717524207259,0.0,0.037913655840756594,0.0,0.0,0.0
1,1061,0,0,0,1,0.0,0.0,0.012907947972061046,0.0,0.0,0.0,0.0,0.0,0.0,0.0060585360103795356
2,2403,0,0,0,1,0.0,0.0004691045038838534,0.0,0.0,0.006044184188692738,0.0,0.003996073316945038,0.0,0.0,0.0
3,3013,1,0,0,0,0.0005224011627802116,0.09280323591085804,0.005540574909376504,0.0,7.288231984881764e-06,0.0,0.0,0.0,0.0,0.0
4,3771,0,0,1,0,0.0007625777271113148,0.0,0.0004257945470873825,0.006541188675415263,0.004140954434655334,0.01155247189531199,0.04181715486277879,0.0,0.0,0.0
5,5493,1,0,0,0,0.009073982432227626,0.0014685484868749634,0.18565691485594313,0.007906933564749636,0.0,0.0,0.0,0.0,0.0,0.0021870940504582544
6,5563,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.022185728983309703,0.02300623041904038,0.0,0.001963794740692759,0.0
7,5876,1,0,0,0,0.0016469041125689715,0.0,0.0,0.0,0.0,0.0,0.0,0.0011065741686986034,0.0,0.009907327484340808
8,5923,0,0,1,0,0.004270801431162142,0.01317007637865866,0.020838788008291812,0.0,0.05759495004779982,0.0017648005076125075,0.0,0.049528533844421886,0.0011801961261706422,0.0
9,6454,1,0,1,0,0.0,0.0,0.0,0.0007731598785884037,0.10874313622604506,0.0008620126314685684,0.0032063284217769654,0.0,0.0008631510475816345,0.003336153223082529
10,7057,1,0,0,1,0.0002662455591912367,0.0003329665890013333,0.005528849784031186,0.0,0.09284459518680974,0.0,0.0,0.00023307368722358455,0.0,0.00048261264883327833
11,7896,1,0,0,0,0.01928095504686878,0.03413417093295132,0.0,0.04125335308362276,0.0,0.0,0.0,0.0,0.0,0.0
12,8124,1,0,0,0,0.0,0.0,0.0,0.04710983847805768,0.004054900166504175,0.0,0.1102121317096203,0.0,0.000889763752521784,0.0
13,8878,1,0,0,0,0.001927773795371443,0.0,0.0,0.0194514058246912,0.0,0.0,0.0,0.0,0.0018755443765446282,0.02040525458027427
14,9236,1,0,0,0,0.003284669173715944,0.0,0.004833094262139102,0.05705566133448548,0.003208101454601901,0.0,0.0,0.0023963342108570492,0.0,0.008117974254606993
15,10031,1,0,0,0,0.009624047461412386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10055,0,1,0,0,0.009911250333841312,0.0,0.03594141483491431,0.0,0.0012572706743174452,0.0,0.0,0.0,0.0,0.000472005403676088
17,10156,0,0,0,1,0.015820846542550338,0.04537272198606757,0.006161655780858153,0.0,0.0021964614949845787,0.0,0.0,0.0,0.0,0.000291475370249477
18,10865,0,0,0,1,0.0,0.15188363012391665,0.0,0.04972970586038349,0.009239073874646685,0.0,0.0,0.0,0.0,0.0
19,11102,0,0,0,1,0.0,0.0,0.0,0.0,0.00039205037429449683,0.0,0.006828561406198003,0.0,8.768776638641826e-06,0.0
20,11505,1,0,0,0,0.000656117885278044,0.19248749827223705,0.0,0.044234288808946504,0.0020876508894471075,0.0,0.0,0.0013746697725307237,0.0,0.0
21,12629,0,0,1,0,0.0013623518142020857,0.011833311879623519,0.0611085968156904,0.0,0.0028934053937361495,0.0,0.0,0.0,0.0,0.0
22,13485,0,0,1,0,0.004035219007293152,0.0,0.0001048923943517803,0.0,0.002992938346455518,0.08790726615327389,0.0,0.0,0.0,0.0025762418446075054
23,13581,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036645728188645976,0.0,0.0,0.0
24,13584,0,1,0,0,0.010682255937830678,0.0015279112781572755,1.5311369445246276e-05,0.003805892852145123,0.0070809710392238535,0.0,0.05080247989833529,0.025511538922627676,0.001714396810851226,0.0
25,13870,1,0,0,0,0.01485775899810493,0.0013347708519867866,0.03900879221120084,0.00010196032945410261,0.004212461058127162,0.006356734387746559,0.0,0.0020554058003682514,0.0,0.0
26,14139,1,1,0,0,0.00500688684250799,0.004377005621830596,0.00031827907068056815,0.0,0.008253832913418645,0.10814758158203036,0.010187327835735883,0.00047246911398128664,0.0003637429101973904,0.0011099590237265457
27,14383,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.017515700475420243,0.03415169130654951,0.0,0.0020688269263828395,0.0
28,15249,1,0,0,1,0.00605549074140471,0.10930606516965197,0.0,0.03821198388234733,0.005251134179387076,0.0,0.0,0.0,0.0,0.0
29,15393,1,0,0,0,0.006804361437920752,0.0004263766920426382,0.0017498538006805722,0.0027102085427177214,0.0005705117155049164,0.0,0.0,0.0010430452792210949,0.0,0.0
30,15601,1,0,0,1,0.004662831182705074,0.0,0.0,0.0017957366319595754,0.19534392716565296,0.0,0.0,0.0,0.0,0.0
31,15958,0,0,0,1,0.04033111657830028,0.0,0.0,0.0,0.1428918790473527,0.0006754690352965773,0.004427768705417218,0.0,0.0,0.0
32,16007,0,0,0,1,0.02293749441046789,0.09410418965030343,0.0056333168981278405,0.0,0.012702172478949059,0.0,0.001035968422136526,0.0011000655669502065,0.0,0.035781729459551395
33,16621,0,0,0,1,0.0,0.0,0.002805682820373426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,16906,0,0,0,1,0.0,0.0,0.011694958469936055,0.0,0.1932398578217281,0.00039858030626286153,0.0,0.060868370244743335,0.0,0.0
35,18070,0,0,1,0,0.0071460486532897455,0.0,0.0,0.001916561250975344,0.11206228658627987,0.0,0.0,0.0,0.0,0.0
36,18128,1,0,0,0,0.002073258485448943,0.0,0.0003105965058929013,0.0,0.012602655857808457,0.013380344594702566,0.006683566534412752,0.0,0.0,0.0
37,18139,1,0,0,0,0.00045980719345927406,0.00010749606181028766,0.0,0.01457704443293645,0.0,0.0,0.0,0.00040896800767761663,0.0,0.0
38,18676,0,0,1,0,0.018393117460554966,0.0,0.005208865792217578,0.0,0.0,0.0024223971565299645,0.0,0.0,0.0,0.0
39,18834,0,0,1,1,0.0037543500068858973,0.010539457645929444,0.0,0.0,0.06000458765797331,0.0,0.0,0.0010882527811406652,0.0,0.0
40,19132,0,0,0,1,0.0006431214043522857,0.0,0.0,0.0,0.010847781836973028,0.0,0.0,0.0,0.0,0.0
41,19637,0,0,1,0,0.0038218037767410937,0.0010359128976958913,0.0,0.0,0.06047108556492719,0.013308367453446945,0.0030994522086197096,0.0,0.0,0.0015676616776775843
